Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
Patients' families,may also be affected,by untreated or inadequately treated bipolar disorder.,Patients' families,may also be affected,by untreated or inadequately treated bipolar disorder.,Patients' families may also be affected by untreated or inadequately treated bipolar disorder.,727
Diagnosing bipolar disorder,typically takes,"8-10 years, sometimes longer.",Diagnosing bipolar disorder,typically takes,"8-10 years, sometimes longer.","Diagnosing bipolar disorder typically takes 8-10 years, sometimes longer.",728
Diagnosis of bipolar disorder,relies on,a psychiatric clinical examination.,Diagnosis of bipolar disorder,relies on,a psychiatric clinical examination.,Diagnosis of bipolar disorder relies on a psychiatric clinical examination.,729
Specialists,use,validated questionnaires and evaluation scales for diagnosing bipolar disorder.,Specialists,use,validated questionnaires and evaluation scales for diagnosing bipolar disorder.,Specialists use validated questionnaires and evaluation scales for diagnosing bipolar disorder.,730
Early and accurate diagnosis,is crucial for,effective treatment for patients and their families.,Early and accurate diagnosis,is crucial for,effective treatment for patients and their families.,Early and accurate diagnosis is crucial for effective treatment for patients and their families.,731
French laboratories SYNLAB and ALCEDIAG,offer,"myEDIT-B, a blood test to differentiate depression from bipolar disorders.",French laboratories SYNLAB and ALCEDIAG,offer,"myEDIT-B, a blood test to differentiate depression from bipolar disorders.","French laboratories SYNLAB and ALCEDIAG offer myEDIT-B, a blood test to differentiate depression from bipolar disorders.",732
myEDIT-B,is described as,"""the first validated diagnostic aid test"" for distinguishing between depression and bipolar disorders.",myEDIT-B,is described as,"""the first validated diagnostic aid test"" for distinguishing between depression and bipolar disorders.","myEDIT-B is described as ""the first validated diagnostic aid test"" for distinguishing between depression and bipolar disorders.",733
The psychiatric medical and scientific community,is somewhat surprised by,the availability of myEDIT-B.,The psychiatric medical and scientific community,is somewhat surprised by,the availability of myEDIT-B.,The psychiatric medical and scientific community is somewhat surprised by the availability of myEDIT-B.,734
It,is uncertain whether psychiatrists will adopt,the use of myEDIT-B.,It,is uncertain whether psychiatrists will adopt,the use of myEDIT-B.,It is uncertain whether psychiatrists will adopt the use of myEDIT-B.,735
The AFPBN,released,a statement indicating no current test meets clinical use standards.,The AFPBN,released,a statement indicating no current test meets clinical use standards.,The AFPBN released a statement indicating no current test meets clinical use standards.,736
Diagnostic tests,must adhere to,"strict criteria for scientific validity, ethics, and clinical usability, as per the AFPBN.",Diagnostic tests,must adhere to,"strict criteria for scientific validity, ethics, and clinical usability, as per the AFPBN.","Diagnostic tests must adhere to strict criteria for scientific validity, ethics, and clinical usability, as per the AFPBN.",737
Criteria for diagnostic test development,include validation,in at least two independent clinical studies or cohorts.,Criteria for diagnostic test development,include validation,in at least two independent clinical studies or cohorts.,Criteria for diagnostic test development include validation in at least two independent clinical studies or cohorts.,738
Diagnostic tests,must demonstrate,satisfactory sensitivity and specificity.,Diagnostic tests,must demonstrate,satisfactory sensitivity and specificity.,Diagnostic tests must demonstrate satisfactory sensitivity and specificity.,739
The cost of diagnostic tests,should be,ethically responsible and permit patient access.,The cost of diagnostic tests,should be,ethically responsible and permit patient access.,The cost of diagnostic tests should be ethically responsible and permit patient access.,740
Diagnostic tests,should remain independent,of commercial interests.,Diagnostic tests,should remain independent,of commercial interests.,Diagnostic tests should remain independent of commercial interests.,741
ALCEDIAG,conducted,two clinical studies.,ALCEDIAG,conducted,two clinical studies.,ALCEDIAG conducted two clinical studies.,742
One study by ALCEDIAG,has been published,in Translational Psychiatry.,One study by ALCEDIAG,has been published,in Translational Psychiatry.,One study by ALCEDIAG has been published in Translational Psychiatry.,743
The published study,involved,400 patients.,The published study,involved,400 patients.,The published study involved 400 patients.,744
Patients in the study,had,a well-established psychiatric condition.,Patients in the study,had,a well-established psychiatric condition.,Patients in the study had a well-established psychiatric condition.,745
Symptoms,varied between,patients with recurrent depression and those with bipolar disorder.,Symptoms,varied between,patients with recurrent depression and those with bipolar disorder.,Symptoms varied between patients with recurrent depression and those with bipolar disorder.,746
Patients,were not undergoing,identical treatments.,Patients,were not undergoing,identical treatments.,Patients were not undergoing identical treatments.,747
Jamain,provided observations on,the patient symptoms and treatments.,Jamain,provided observations on,the patient symptoms and treatments.,Jamain provided observations on the patient symptoms and treatments.,748
Differentiating,is crucial for,treatment between bipolar disorder and depression.,Differentiating,is crucial for,treatment between bipolar disorder and depression.,Differentiating is crucial for treatment between bipolar disorder and depression.,749
Antidepressants,can induce,a manic shift in patients with bipolar disorder if not accompanied by mood stabilizers.,Antidepressants,can induce,a manic shift in patients with bipolar disorder if not accompanied by mood stabilizers.,Antidepressants can induce a manic shift in patients with bipolar disorder if not accompanied by mood stabilizers.,750
Jamain,acknowledged the risk of,manic shifts due to antidepressants in bipolar disorder patients.,Jamain,acknowledged the risk of,manic shifts due to antidepressants in bipolar disorder patients.,Jamain acknowledged the risk of manic shifts due to antidepressants in bipolar disorder patients.,751
Jamain,believes,it is difficult to comment on the test based on the laboratory's published work.,Jamain,believes,it is difficult to comment on the test based on the laboratory's published work.,Jamain believes it is difficult to comment on the test based on the laboratory's published work.,752
myEDIT-B,measures,RNA editing modifications of specific markers in patients' blood.,myEDIT-B,measures,RNA editing modifications of specific markers in patients' blood.,myEDIT-B measures RNA editing modifications of specific markers in patients' blood.,753
RNA editing modifications,can lead to,differences in amino acids within proteins.,RNA editing modifications,can lead to,differences in amino acids within proteins.,RNA editing modifications can lead to differences in amino acids within proteins.,754
The technique,is unique to,the ALCEDIAG laboratory.,The technique,is unique to,the ALCEDIAG laboratory.,The technique is unique to the ALCEDIAG laboratory.,755
ALCEDIAG laboratory,coupled,the technique with an artificial intelligence tool.,ALCEDIAG laboratory,coupled,the technique with an artificial intelligence tool.,ALCEDIAG laboratory coupled the technique with an artificial intelligence tool.,756
The artificial intelligence tool,selected,8 RNA sequences for analysis from thousands.,The artificial intelligence tool,selected,8 RNA sequences for analysis from thousands.,The artificial intelligence tool selected 8 RNA sequences for analysis from thousands.,757
The analysis,aims to obtain,a differential signature for unipolar and bipolar depressions.,The analysis,aims to obtain,a differential signature for unipolar and bipolar depressions.,The analysis aims to obtain a differential signature for unipolar and bipolar depressions.,758
The method,is considered,a niche and is the trademark of ALCEDIAG.,The method,is considered,a niche and is the trademark of ALCEDIAG.,The method is considered a niche and is the trademark of ALCEDIAG.,759
Jamain,questions the significance of RNA editing,on the periphery of the Central Nervous System (CNS).,Jamain,questions the significance of RNA editing,on the periphery of the Central Nervous System (CNS).,Jamain questions the significance of RNA editing on the periphery of the Central Nervous System (CNS).,760
This technique,is distinct from,those used by most international consortia in the research field.,This technique,is distinct from,those used by most international consortia in the research field.,This technique is distinct from those used by most international consortia in the research field.,761
International consortia,typically compare,genome nucleotide differences across large cohorts of tens of thousands of individuals.,International consortia,typically compare,genome nucleotide differences across large cohorts of tens of thousands of individuals.,International consortia typically compare genome nucleotide differences across large cohorts of tens of thousands of individuals.,762
Consortia,identify,frequently occurring genetic patterns associated with a pathology to infer risk for psychiatric illness.,Consortia,identify,frequently occurring genetic patterns associated with a pathology to infer risk for psychiatric illness.,Consortia identify frequently occurring genetic patterns associated with a pathology to infer risk for psychiatric illness.,763
Jamain,notes,that large-scale studies do not pinpoint individuals at risk for developing psychiatric diseases.,Jamain,notes,that large-scale studies do not pinpoint individuals at risk for developing psychiatric diseases.,Jamain notes that large-scale studies do not pinpoint individuals at risk for developing psychiatric diseases.,764
Familial recurrence of psychiatric illness,offers,similar predictive value to large-scale genetic studies.,Familial recurrence of psychiatric illness,offers,similar predictive value to large-scale genetic studies.,Familial recurrence of psychiatric illness offers similar predictive value to large-scale genetic studies.,765
ALCEDIAG,claims,over 80% sensitivity and specificity for its psychiatric test.,ALCEDIAG,claims,over 80% sensitivity and specificity for its psychiatric test.,ALCEDIAG claims over 80% sensitivity and specificity for its psychiatric test.,766
The psychiatric community,maintains,a cautious stance on ALCEDIAG's test.,The psychiatric community,maintains,a cautious stance on ALCEDIAG's test.,The psychiatric community maintains a cautious stance on ALCEDIAG's test.,767
"Marion Leboyer, PhD, General Director of the FondaMental Foundation",emphasizes,the need for research on psychiatric illnesses.,"Marion Leboyer, PhD, General Director of the FondaMental Foundation",emphasizes,the need for research on psychiatric illnesses.,"Marion Leboyer, PhD, General Director of the FondaMental Foundation emphasizes the need for research on psychiatric illnesses.",768
Marion Leboyer's research,focuses on,"bipolar disorders at AP-HP, Inserm in Créteil, France.",Marion Leboyer's research,focuses on,"bipolar disorders at AP-HP, Inserm in Créteil, France.","Marion Leboyer's research focuses on bipolar disorders at AP-HP, Inserm in Créteil, France.",769
Marion Leboyer,calls for,rigorous scientific validation of ALCEDIAG's test through clinical trials.,Marion Leboyer,calls for,rigorous scientific validation of ALCEDIAG's test through clinical trials.,Marion Leboyer calls for rigorous scientific validation of ALCEDIAG's test through clinical trials.,770
Jamain,expressed caution about,the commercial aspect of ALCEDIAG's test.,Jamain,expressed caution about,the commercial aspect of ALCEDIAG's test.,Jamain expressed caution about the commercial aspect of ALCEDIAG's test.,771
Psychiatrists' prescription,is,uncertain of the €899 ALCEDIAG test.,Psychiatrists' prescription,is,uncertain of the €899 ALCEDIAG test.,Psychiatrists' prescription is uncertain of the €899 ALCEDIAG test.,772
The ALCEDIAG test,is currently not reimbursed,by social security.,The ALCEDIAG test,is currently not reimbursed,by social security.,The ALCEDIAG test is currently not reimbursed by social security.,773
ALCEDIAG,intends to submit,a validation dossier to the US Food and Drug Administration.,ALCEDIAG,intends to submit,a validation dossier to the US Food and Drug Administration.,ALCEDIAG intends to submit a validation dossier to the US Food and Drug Administration.,774
Synthetic psilocybin combined with psychotherapy,can significantly reduce,treatment-resistant depression in bipolar II disorder (BDII).,Synthetic psilocybin combined with psychotherapy,can significantly reduce,treatment-resistant depression in bipolar II disorder (BDII).,Synthetic psilocybin combined with psychotherapy can significantly reduce treatment-resistant depression in bipolar II disorder (BDII).,775
The evidence,comes from,"a small, nonrandomized clinical trial.",The evidence,comes from,"a small, nonrandomized clinical trial.","The evidence comes from a small, nonrandomized clinical trial.",776
Investigators,caution against,overinterpreting these results.,Investigators,caution against,overinterpreting these results.,Investigators caution against overinterpreting these results.,777
Outside experts,also warn about,overinterpreting the trial's findings.,Outside experts,also warn about,overinterpreting the trial's findings.,Outside experts also warn about overinterpreting the trial's findings.,778
All 15 participants,experienced,"a reduction in depression scores by an average of 24 points, three weeks post-treatment.",All 15 participants,experienced,"a reduction in depression scores by an average of 24 points, three weeks post-treatment.","All 15 participants experienced a reduction in depression scores by an average of 24 points, three weeks post-treatment.",779
12 out of 15 participants,met the criteria for,a clinical response following psilocybin and psychotherapy.,12 out of 15 participants,met the criteria for,a clinical response following psilocybin and psychotherapy.,12 out of 15 participants met the criteria for a clinical response following psilocybin and psychotherapy.,780
11 out of 15 participants,achieved,remission status after the intervention with psilocybin and psychotherapy.,11 out of 15 participants,achieved,remission status after the intervention with psilocybin and psychotherapy.,11 out of 15 participants achieved remission status after the intervention with psilocybin and psychotherapy.,781
The benefit,persisted,until the 12-week mark.,The benefit,persisted,until the 12-week mark.,The benefit persisted until the 12-week mark.,782
12 participants,equating to,"80%, met the criteria for both response and remission.",12 participants,equating to,"80%, met the criteria for both response and remission.","12 participants equating to 80%, met the criteria for both response and remission.",783
There,were,no reports of mixed or manic symptoms.,There,were,no reports of mixed or manic symptoms.,There were no reports of mixed or manic symptoms.,784
There,were,no reports of psychotic symptoms.,There,were,no reports of psychotic symptoms.,There were no reports of psychotic symptoms.,785
There,were,no reports of suicidal ideation.,There,were,no reports of suicidal ideation.,There were no reports of suicidal ideation.,786
The study,has,"a small, open-label design.",The study,has,"a small, open-label design.","The study has a small, open-label design.",787
Interpretation of the study's findings,should be approached,with caution.,Interpretation of the study's findings,should be approached,with caution.,Interpretation of the study's findings should be approached with caution.,788
Investigators,consider,the study's results to be promising.,Investigators,consider,the study's results to be promising.,Investigators consider the study's results to be promising.,789
The trial results,are encouraging for,the clinical study of psychedelics in treatment-resistant bipolar II patients.,The trial results,are encouraging for,the clinical study of psychedelics in treatment-resistant bipolar II patients.,The trial results are encouraging for the clinical study of psychedelics in treatment-resistant bipolar II patients.,790
"Scott Aaronson, MD",is,"the lead investigator and chief science officer at the Institute for Advanced Diagnostics and Therapeutics at Sheppard Pratt Health System in Baltimore, Maryland.","Scott Aaronson, MD",is,"the lead investigator and chief science officer at the Institute for Advanced Diagnostics and Therapeutics at Sheppard Pratt Health System in Baltimore, Maryland.","Scott Aaronson, MD is the lead investigator and chief science officer at the Institute for Advanced Diagnostics and Therapeutics at Sheppard Pratt Health System in Baltimore, Maryland.",791
Scott Aaronson,commented on,the trial results in a press release.,Scott Aaronson,commented on,the trial results in a press release.,Scott Aaronson commented on the trial results in a press release.,792
A participant in the trial,likened,her transformation to taking a deep breath after years of breathing through a straw.,A participant in the trial,likened,her transformation to taking a deep breath after years of breathing through a straw.,A participant in the trial likened her transformation to taking a deep breath after years of breathing through a straw.,793
The findings,were published,"on December 6, 2023.",The findings,were published,"on December 6, 2023.","The findings were published on December 6, 2023.",794
The publication medium,was,online.,The publication medium,was,online.,The publication medium was online.,795
The journal of publication,was,JAMA Psychiatry.,The journal of publication,was,JAMA Psychiatry.,The journal of publication was JAMA Psychiatry.,796
Previous studies,indicate,psilocybin reduces symptoms of treatment-resistant depression.,Previous studies,indicate,psilocybin reduces symptoms of treatment-resistant depression.,Previous studies indicate psilocybin reduces symptoms of treatment-resistant depression.,797
Psilocybin,is effective against,major depressive disorder.,Psilocybin,is effective against,major depressive disorder.,Psilocybin is effective against major depressive disorder.,798
Psilocybin,shows efficacy in treating,anorexia nervosa.,Psilocybin,shows efficacy in treating,anorexia nervosa.,Psilocybin shows efficacy in treating anorexia nervosa.,799
Psilocybin treatment,typically results in,only mild to moderate adverse effects.,Psilocybin treatment,typically results in,only mild to moderate adverse effects.,Psilocybin treatment typically results in only mild to moderate adverse effects.,800
Individuals with bipolar disorder,have been excluded,from psilocybin studies for the past twenty years.,Individuals with bipolar disorder,have been excluded,from psilocybin studies for the past twenty years.,Individuals with bipolar disorder have been excluded from psilocybin studies for the past twenty years.,801
The exclusion of individuals with bipolar disorder,is due to,concerns of inducing manic episodes.,The exclusion of individuals with bipolar disorder,is due to,concerns of inducing manic episodes.,The exclusion of individuals with bipolar disorder is due to concerns of inducing manic episodes.,802
Limited empirical evidence,is,to support the claim that psychedelics cause manic episodes in patients with bipolar disorder.,Limited empirical evidence,is,to support the claim that psychedelics cause manic episodes in patients with bipolar disorder.,Limited empirical evidence is to support the claim that psychedelics cause manic episodes in patients with bipolar disorder.,803
The study,involved,15 participants with Bipolar Disorder II (BDII).,The study,involved,15 participants with Bipolar Disorder II (BDII).,The study involved 15 participants with Bipolar Disorder II (BDII).,804
Of the participants,were,9 were female.,Of the participants,were,9 were female.,Of the participants were 9 were female.,805
The mean age of participants,was,37.8 years.,The mean age of participants,was,37.8 years.,The mean age of participants was 37.8 years.,806
All participants,had experienced,a BDII episode for over 3 months.,All participants,had experienced,a BDII episode for over 3 months.,All participants had experienced a BDII episode for over 3 months.,807
Each participant,had failed,at least two medications during the current episode.,Each participant,had failed,at least two medications during the current episode.,Each participant had failed at least two medications during the current episode.,808
Participants,ceased,all psychotropic medications at least 2 weeks before the trial.,Participants,ceased,all psychotropic medications at least 2 weeks before the trial.,Participants ceased all psychotropic medications at least 2 weeks before the trial.,809
Participants,received,25 mg of synthetic COMP360 psilocybin in a controlled setting.,Participants,received,25 mg of synthetic COMP360 psilocybin in a controlled setting.,Participants received 25 mg of synthetic COMP360 psilocybin in a controlled setting.,810
The psychotherapy protocol,included,three sessions before dosing.,The psychotherapy protocol,included,three sessions before dosing.,The psychotherapy protocol included three sessions before dosing.,811
Participants,underwent,one psychotherapy session during the 8-hour dosing day.,Participants,underwent,one psychotherapy session during the 8-hour dosing day.,Participants underwent one psychotherapy session during the 8-hour dosing day.,812
Participants,attended,three posttreatment integration psychotherapy sessions.,Participants,attended,three posttreatment integration psychotherapy sessions.,Participants attended three posttreatment integration psychotherapy sessions.,813
Depression levels,were assessed using,the Montgomery Ǻsberg Depression Rating Scale (MADRS).,Depression levels,were assessed using,the Montgomery Ǻsberg Depression Rating Scale (MADRS).,Depression levels were assessed using the Montgomery Ǻsberg Depression Rating Scale (MADRS).,814
The assessment,occurred,at six distinct time points.,The assessment,occurred,at six distinct time points.,The assessment occurred at six distinct time points.,815
The duration of the study,was,12 weeks.,The duration of the study,was,12 weeks.,The duration of the study was 12 weeks.,816
All 15 participants,had lower,Montgomery-Åsberg Depression Rating Scale (MADRS) scores by week 3.,All 15 participants,had lower,Montgomery-Åsberg Depression Rating Scale (MADRS) scores by week 3.,All 15 participants had lower Montgomery-Åsberg Depression Rating Scale (MADRS) scores by week 3.,817
The mean decrease in MADRS scores,was,24 points (P < .001).,The mean decrease in MADRS scores,was,24 points (P < .001).,The mean decrease in MADRS scores was 24 points (P < .001).,818
Twelve participants,achieved,a ≥ 50% reduction in MADRS scores.,Twelve participants,achieved,a ≥ 50% reduction in MADRS scores.,Twelve participants achieved a ≥ 50% reduction in MADRS scores.,819
Eleven participants,met,the remission criteria with a MADRS score of ≤ 10.,Eleven participants,met,the remission criteria with a MADRS score of ≤ 10.,Eleven participants met the remission criteria with a MADRS score of ≤ 10.,820
Both response and remission rates,had,statistical significance (P < .001).,Both response and remission rates,had,statistical significance (P < .001).,Both response and remission rates had statistical significance (P < .001).,821
MADRS scores at each posttreatment time point,were,significantly lower than baseline scores.,MADRS scores at each posttreatment time point,were,significantly lower than baseline scores.,MADRS scores at each posttreatment time point were significantly lower than baseline scores.,822
The improvement in MADRS scores,persisted,at 12 weeks.,The improvement in MADRS scores,persisted,at 12 weeks.,The improvement in MADRS scores persisted at 12 weeks.,823
Participants,underwent monitoring for,mania during the study.,Participants,underwent monitoring for,mania during the study.,Participants underwent monitoring for mania during the study.,824
Participants,underwent monitoring for,suicidality during the study.,Participants,underwent monitoring for,suicidality during the study.,Participants underwent monitoring for suicidality during the study.,825
Various time points,were used for monitoring participants,for mania and suicidality.,Various time points,were used for monitoring participants,for mania and suicidality.,Various time points were used for monitoring participants for mania and suicidality.,826
No significant changes,were detected,in mania from baseline.,No significant changes,were detected,in mania from baseline.,No significant changes were detected in mania from baseline.,827
No significant changes,were detected,in suicidality from baseline.,No significant changes,were detected,in suicidality from baseline.,No significant changes were detected in suicidality from baseline.,828
The authors,caution against overinterpreting,the findings from the first open-label study in the treatment-resistant population.,The authors,caution against overinterpreting,the findings from the first open-label study in the treatment-resistant population.,The authors caution against overinterpreting the findings from the first open-label study in the treatment-resistant population.,829
The findings,may not be applicable to,patients with Bipolar I Disorder (BDI) or Bipolar II Disorder (BDII) who are in a mixed or hypomanic phase.,The findings,may not be applicable to,patients with Bipolar I Disorder (BDI) or Bipolar II Disorder (BDII) who are in a mixed or hypomanic phase.,The findings may not be applicable to patients with Bipolar I Disorder (BDI) or Bipolar II Disorder (BDII) who are in a mixed or hypomanic phase.,830
"David B. Yaden, PhD, and colleagues from Johns Hopkins University School of Medicine",describe,"the findings on psilocybin for BDII as ""tantalizingly suggestive.""","David B. Yaden, PhD, and colleagues from Johns Hopkins University School of Medicine",describe,"the findings on psilocybin for BDII as ""tantalizingly suggestive.""","David B. Yaden, PhD, and colleagues from Johns Hopkins University School of Medicine describe the findings on psilocybin for BDII as ""tantalizingly suggestive.""",831
"The editorial by David B. Yaden, PhD, and colleagues",does not confirm,the efficacy of psilocybin for treating Bipolar Disorder II (BDII).,"The editorial by David B. Yaden, PhD, and colleagues",does not confirm,the efficacy of psilocybin for treating Bipolar Disorder II (BDII).,"The editorial by David B. Yaden, PhD, and colleagues does not confirm the efficacy of psilocybin for treating Bipolar Disorder II (BDII).",832
"The team led by David B. Yaden, PhD",concludes,that the results are not definitive regarding psilocybin's effectiveness for BDII.,"The team led by David B. Yaden, PhD",concludes,that the results are not definitive regarding psilocybin's effectiveness for BDII.,"The team led by David B. Yaden, PhD concludes that the results are not definitive regarding psilocybin's effectiveness for BDII.",833
Some individuals,may perceive,a new treatment for bipolar II as significantly superior based on its large effect size.,Some individuals,may perceive,a new treatment for bipolar II as significantly superior based on its large effect size.,Some individuals may perceive a new treatment for bipolar II as significantly superior based on its large effect size.,834
The perceived superiority of the new bipolar II treatment,overlooks,the absence of a control condition in the study.,The perceived superiority of the new bipolar II treatment,overlooks,the absence of a control condition in the study.,The perceived superiority of the new bipolar II treatment overlooks the absence of a control condition in the study.,835
The study in question,provided,"substantial psychosocial support, which is not accounted for when evaluating the treatment's effectiveness.",The study in question,provided,"substantial psychosocial support, which is not accounted for when evaluating the treatment's effectiveness.","The study in question provided substantial psychosocial support, which is not accounted for when evaluating the treatment's effectiveness.",836
Yaden and colleagues,highlight,the potential misinterpretation of the new bipolar II treatment's efficacy due to uncontrolled study conditions.,Yaden and colleagues,highlight,the potential misinterpretation of the new bipolar II treatment's efficacy due to uncontrolled study conditions.,Yaden and colleagues highlight the potential misinterpretation of the new bipolar II treatment's efficacy due to uncontrolled study conditions.,837
Researchers,caution against overinterpreting,the large effect size observed in the study.,Researchers,caution against overinterpreting,the large effect size observed in the study.,Researchers caution against overinterpreting the large effect size observed in the study.,838
The study's limitations,include,a small sample size.,The study's limitations,include,a small sample size.,The study's limitations include a small sample size.,839
The study,lacks,a control group.,The study,lacks,a control group.,The study lacks a control group.,840
Yaden and colleagues,described,"the safety data as ""compelling.""",Yaden and colleagues,described,"the safety data as ""compelling.""","Yaden and colleagues described the safety data as ""compelling.""",841
The safety profile,may influence,exclusion criteria in upcoming studies.,The safety profile,may influence,exclusion criteria in upcoming studies.,The safety profile may influence exclusion criteria in upcoming studies.,842
Future studies,will involve,individuals with Borderline Personality Disorder (BPD).,Future studies,will involve,individuals with Borderline Personality Disorder (BPD).,Future studies will involve individuals with Borderline Personality Disorder (BPD).,843
The present study,offers,preliminary evidence that including individuals with bipolar II in study samples may not pose a significant risk of triggering hypomanic episodes.,The present study,offers,preliminary evidence that including individuals with bipolar II in study samples may not pose a significant risk of triggering hypomanic episodes.,The present study offers preliminary evidence that including individuals with bipolar II in study samples may not pose a significant risk of triggering hypomanic episodes.,844
The study,prompts,a re-evaluation of the exclusion criteria regarding individuals with a family history of bipolar II in research studies.,The study,prompts,a re-evaluation of the exclusion criteria regarding individuals with a family history of bipolar II in research studies.,The study prompts a re-evaluation of the exclusion criteria regarding individuals with a family history of bipolar II in research studies.,845
The study,received funding,from COMPASS Pathways.,The study,received funding,from COMPASS Pathways.,The study received funding from COMPASS Pathways.,846
COMPASS Pathways,supplied,the study drug.,COMPASS Pathways,supplied,the study drug.,COMPASS Pathways supplied the study drug.,847
Aaronson,disclosed receiving,grants and nonfinancial support from COMPASS Pathways during the study.,Aaronson,disclosed receiving,grants and nonfinancial support from COMPASS Pathways during the study.,Aaronson disclosed receiving grants and nonfinancial support from COMPASS Pathways during the study.,848
Aaronson,received personal fees,"from LivaNova, Neuronetics, Genomind, and Sage Therapeutics outside the study.",Aaronson,received personal fees,"from LivaNova, Neuronetics, Genomind, and Sage Therapeutics outside the study.","Aaronson received personal fees from LivaNova, Neuronetics, Genomind, and Sage Therapeutics outside the study.",849
Additional disclosures,are detailed,in the original article.,Additional disclosures,are detailed,in the original article.,Additional disclosures are detailed in the original article.,850
An accelerated schedule of intermittent theta burst transcranial magnetic stimulation (aiTBS),is effective for,treatment-resistant bipolar depression.,An accelerated schedule of intermittent theta burst transcranial magnetic stimulation (aiTBS),is effective for,treatment-resistant bipolar depression.,An accelerated schedule of intermittent theta burst transcranial magnetic stimulation (aiTBS) is effective for treatment-resistant bipolar depression.,851
The effectiveness of aiTBS,was demonstrated,in a small randomized controlled trial.,The effectiveness of aiTBS,was demonstrated,in a small randomized controlled trial.,The effectiveness of aiTBS was demonstrated in a small randomized controlled trial.,852
The aiTBS treatment,was completed,for bipolar depression in less than a week.,The aiTBS treatment,was completed,for bipolar depression in less than a week.,The aiTBS treatment was completed for bipolar depression in less than a week.,853
Investigators,discovered,a substantial decrease in depressive symptoms among participants who received active accelerated intermittent theta burst stimulation (aiTBS).,Investigators,discovered,a substantial decrease in depressive symptoms among participants who received active accelerated intermittent theta burst stimulation (aiTBS).,Investigators discovered a substantial decrease in depressive symptoms among participants who received active accelerated intermittent theta burst stimulation (aiTBS).,854
Participants,who received sham stimulation,did not experience a similar decrease in depressive symptoms.,Participants,who received sham stimulation,did not experience a similar decrease in depressive symptoms.,Participants who received sham stimulation did not experience a similar decrease in depressive symptoms.,855
aiTBS,presents,a new potential therapy for patients with bipolar disorder who are resistant to pharmacological treatments.,aiTBS,presents,a new potential therapy for patients with bipolar disorder who are resistant to pharmacological treatments.,aiTBS presents a new potential therapy for patients with bipolar disorder who are resistant to pharmacological treatments.,856
aiTBS,may benefit,bipolar disorder patients who cannot tolerate drug side effects.,aiTBS,may benefit,bipolar disorder patients who cannot tolerate drug side effects.,aiTBS may benefit bipolar disorder patients who cannot tolerate drug side effects.,857
aiTBS,could significantly reduce,the treatment duration for bipolar disorder.,aiTBS,could significantly reduce,the treatment duration for bipolar disorder.,aiTBS could significantly reduce the treatment duration for bipolar disorder.,858
"Lead researcher Yvette Sheline, MD",announced,these findings in a news release.,"Lead researcher Yvette Sheline, MD",announced,these findings in a news release.,"Lead researcher Yvette Sheline, MD announced these findings in a news release.",859
The study,was published,online.,The study,was published,online.,The study was published online.,860
The publication date,was,of the study July 10.,The publication date,was,of the study July 10.,The publication date was of the study July 10.,861
The study,appeared,in JAMA Psychiatry.,The study,appeared,in JAMA Psychiatry.,The study appeared in JAMA Psychiatry.,862
Medscape Medical News,reported,that the US Food and Drug Administration (FDA) cleared aiTBS for treating major depressive disorder.,Medscape Medical News,reported,that the US Food and Drug Administration (FDA) cleared aiTBS for treating major depressive disorder.,Medscape Medical News reported that the US Food and Drug Administration (FDA) cleared aiTBS for treating major depressive disorder.,863
aiTBS,is not approved by,the US Food and Drug Administration (FDA) for treating bipolar depression.,aiTBS,is not approved by,the US Food and Drug Administration (FDA) for treating bipolar depression.,aiTBS is not approved by the US Food and Drug Administration (FDA) for treating bipolar depression.,864
Investigators,evaluated,aiTBS effectiveness in 24 individuals with treatment-resistant bipolar disorder.,Investigators,evaluated,aiTBS effectiveness in 24 individuals with treatment-resistant bipolar disorder.,Investigators evaluated aiTBS effectiveness in 24 individuals with treatment-resistant bipolar disorder.,865
The study group,consisted of,12 men and 12 women.,The study group,consisted of,12 men and 12 women.,The study group consisted of 12 men and 12 women.,866
The average age,of participants was,43 years.,The average age,of participants was,43 years.,The average age of participants was 43 years.,867
All participants,had been on,mood stabilizers for a minimum of 4 weeks.,All participants,had been on,mood stabilizers for a minimum of 4 weeks.,All participants had been on mood stabilizers for a minimum of 4 weeks.,868
Participants,had,Montgomery-Åsberg Depression Rating Scale (MADRS) scores of 20 or higher.,Participants,had,Montgomery-Åsberg Depression Rating Scale (MADRS) scores of 20 or higher.,Participants had Montgomery-Åsberg Depression Rating Scale (MADRS) scores of 20 or higher.,869
Twenty-two participants,were diagnosed with,bipolar II disorder.,Twenty-two participants,were diagnosed with,bipolar II disorder.,Twenty-two participants were diagnosed with bipolar II disorder.,870
Participants,underwent,a 5-day trial with randomized treatments.,Participants,underwent,a 5-day trial with randomized treatments.,Participants underwent a 5-day trial with randomized treatments.,871
Each participant,received,10 daily sessions of either imaging-guided active aiTBS or sham aiTBS.,Each participant,received,10 daily sessions of either imaging-guided active aiTBS or sham aiTBS.,Each participant received 10 daily sessions of either imaging-guided active aiTBS or sham aiTBS.,872
The targeted area for treatment,was,the left dorsolateral prefrontal cortex.,The targeted area for treatment,was,the left dorsolateral prefrontal cortex.,The targeted area for treatment was the left dorsolateral prefrontal cortex.,873
Sessions,were,1 hour long.,Sessions,were,1 hour long.,Sessions were 1 hour long.,874
